,pl,be,uk,ru,bg,sl,cs,gender,en
1773,Edward Emerson Barnard,Эдвард Эмерсан Барнард,Емерсон Едвард,Эдвард Барнард,Едуард Емерсън Барнард,Edward Emerson Barnard,Edward Emerson Barnard,m,Edward Emerson Barnard
1774,Uług Beg,Улугбек,Улугбек,Улугбек,Улуг Бег,Ulug Beg,Ulugbeg,m,Ulugh Beg
1775,John Couch Adams,Джон Куч Адамс,Джон Адамс,Джон Адамс,Джон Кауч Адамс,John Couch Adams,John Couch Adams,m,John Couch Adams
1776,William Lassell,Уільям Ласел,Вільям Ласселл,Уильям Лассел,Уилям Ласел,William Lassell,William Lassell,m,William Lassell
1777,Johann Gottfried Galle,Іаган Готфрыд Гале,Йоганн Готфрід Ґалле,Иоганн Галле,Йохан Готфрид Гал,Johann Gottfried Galle,Johann Gottfried Galle,m,Johann Gottfried Galle
1778,Johann Franz Encke,Іаган Франц Энке,Йоганн Франц Енке,Иоганн Энке,Йохан Енке,Johann Franz Encke,Johann Franz Encke,m,Johann Franz Encke
1779,Javier Solana,Хаўер Салана,Хав'єр Солана,Хавьер Солана,Хавиер Солана,Javier Solana,Javier Solana,m,Javier Solana
1780,Urbain Le Verrier,Урбэн Жан Жазеф Левер’е,Урбен Левер'є,Урбен Леверье,Юрбен Льоверие,Urbain-Jean Joseph Le Verrier,Urbain Le Verrier,m,Urbain Le Verrier
1781,John Herschel,Джон Гершэль,Джон Гершель,Джон Гершель,Джон Хершел,John Frederick William Herschel,John Herschel,m,John Herschel
1782,Edmond Halley,Эдмунд Галей,Едмонд Галлей,Эдмунд Галлей,Едмънд Халей,Edmond Halley,Edmund Halley,m,Edmond Halley
1783,Gerard Kuiper,Джэрард Петэр Койпер,Джерард Койпер,Джерард Койпер,Герард Кайпер,Gerard Peter Kuiper,Gerard Kuiper,m,Gerard Kuiper
1784,Maja Plisiecka,Мая Міхайлаўна Плісецкая,Майя Плісецька,Майя Плисецкая,Мая Плисецкая,Maja Plisecka,Maja Plisecká,f,Maya Plisetskaya
1785,Fulgencio Batista,Фульхенсіа Батыста,Фульхенсіо Батиста,Фульхенсио Батиста,Фулхенсио Батиста,Fulgencio Batista,Fulgencio Batista,m,Fulgencio Batista
1786,José Ortega y Gasset,Хасэ Артэга-і-Гасет,Хосе Ортега-і-Гассет,Хосе Ортега-и-Гассет,Хосе Ортега и Гасет,José Ortega y Gasset,José Ortega y Gasset,m,José Ortega y Gasset
1787,Mireille Mathieu,Мірэй Мацьё,Мірей Матьє,Мирей Матьё,Мирей Матийо,Mireille Mathieu,Mireille Mathieu,f,Mireille Mathieu
1788,Gregor Mendel,Грэгар Іаган Мендэль,Грегор Мендель,Грегор Мендель,Грегор Мендел,Gregor Mendel,Gregor Mendel,m,Gregor Mendel
1789,Igor Sikorski,Ігар Іванавіч Сікорскі,Ігор Сікорський,Игорь Сикорский,Игор Сикорски,Igor Ivanovič Sikorski,Igor Sikorskij,m,Igor Sikorsky
1790,Reinhold Messner,Райнхольд Меснер,Райнгольд Месснер,Райнхольд Месснер,Райнхолд Меснер,Reinhold Messner,Reinhold Messner,m,Reinhold Messner
1791,Leon X,Леў X,Лев X,Лев X,Лъв X,Papež Leon X,Lev X,m,Pope Leo X
1792,Gustav Ludwig Hertz,Густаў Людвіг Герц,Людвіг Густав,Густав Герц,Густав Лудвиг Херц,Gustav Ludwig Hertz,Gustav Ludwig Hertz,m,Gustav Ludwig Hertz
1793,James Franck,Джэймс Франк,Джеймс Франк,Джеймс Франк,Джеймс Франк,James Franck,James Franck,m,James Franck
1794,Guy de Maupassant,Гі дэ Мапасан,Гі де Мопассан,Ги Мопассан,Ги дьо Мопасан,Guy de Maupassant,Guy de Maupassant,m,Guy de Maupassant
1795,Milan Kundera,Мілан Кундзера,Мілан Кундера,Милан Кундера,Милан Кундера,Milan Kundera,Milan Kundera,m,Milan Kundera
1796,Aleksander Kiereński,Аляксандр Фёдаравіч Керанскі,Олександр Керенський,Александр Керенский,Александър Керенски,Aleksander Fjodorovič Kerenski,Alexandr Fjodorovič Kerenskij,m,Alexander Kerensky
1797,Marcel Duchamp,Марсель Дзюшан,Марсель Дюшан,Марсель Дюшан,Марсел Дюшан,Marcel Duchamp,Marcel Duchamp,m,Marcel Duchamp
1798,Dagobert I,Дагаберт I,Дагоберт I,Дагоберт I,Дагоберт I,Dagobert I,Dagobert I,m,Dagobert I
1799,Piotr Abelard,П’ер Абеляр,П'єр Абеляр,Пьер Абеляр,Пиер Абелар,Pierre Abélard,Pierre Abélard,m,Peter Abelard
1800,Nikołaj Kuzniecow ,Мікалай Герасімавіч Кузняцоў,Микола Кузнецов,Николай Кузнецов,Николай Кузнецов ,Nikolaj Gerasimovič Kuznecov,Nikolaj Gerasimovič Kuzněcov,m,Nikolay Kuznetsov
1801,Jennifer Lopez,Джэніфер Лопес,Дженніфер Лопес,Дженнифер Лопес,Дженифър Лопес,Jennifer Lopez,Jennifer Lopez,f,Jennifer Lopez
1802,Alfons Mucha,Альфонс Муха,Альфонс Муха,Альфонс Муха,Алфонс Муха,Alfons Maria Mucha,Alfons Mucha,m,Alphonse Mucha
1803,Amy Winehouse,Эмі Уайнхаус,Емі Вайнгауз,Эми Уайнхаус,Ейми Уайнхаус,Amy Winehouse,Amy Winehouse,f,Amy Winehouse
1804,Anders Breivik,Андэрс Берынг Брэйвік,Беринг Андерс,Андерс Брейвик,Андеш Брайвик,Anders Behring Breivik,Anders Behring Breivik,m,Anders Behring Breivik
1805,Suger,Сугерый,Абат Сюжер,Сугерий,Сугерий,Suger,Suger,m,Suger
1806,Adolphe Adam,Адольф Шарль Адан,Адольф Адан,Адольф Адан,Адолф Адам,Adolphe-Charles Adam,Adolphe Adam,m,Adolphe Adam
1807,Gustave Flaubert,Гюстаў Флабер,Гюстав Флобер,Гюстав Флобер,Гюстав Флобер,Gustave Flaubert,Gustave Flaubert,m,Gustave Flaubert
1808,Georges Braque,Жорж Брак,Жорж Брак,Жорж Брак,Жорж Брак,Georges Braque,Georges Braque,m,Georges Braque
1809,Mark Zuckerberg,Марк Цукерберг,Марк Цукерберг,Марк Цукерберг,Марк Зъкърбърг,Mark Zuckerberg,Mark Zuckerberg,m,Mark Zuckerberg
1810,Thomas Henry Huxley,Томас Генры Хакслі,Генрі Томас,Томас Гексли,Томас Хъксли,Thomas Henry Huxley,Thomas Henry Huxley,m,Thomas Henry Huxley
1811,Olaf V,Улаф V,Олаф V,Улаф V,Олаф V,Olaf V. Norveški,Olaf V,m,Olav V of Norway
1812,Johann Ludwig Graf Schwerin von Krosigk,Людвіг Шверын фон Крозіг,Людвіг Шверін фон Крозіг,Людвиг Шверин фон Крозиг,Луц Шверин фон Крозиг,Johann Ludwig Schwerin von Krosigk,Lutz Schwerin von Krosigk,m,Lutz Graf Schwerin von Krosigk
1813,Pierre de Fermat,П’ер дэ Ферма,П'єр Ферма,Пьер Ферма,Пиер дьо Ферма,Pierre de Fermat,Pierre de Fermat,m,Pierre de Fermat
1814,Charles Coulomb,Шарль Агюстэн дэ Кулон,Огюстен Шарль,Шарль Кулон,Шарл дьо Кулон,Charles Augustin de Coulomb,Charles-Augustin de Coulomb,m,Charles-Augustin de Coulomb
1815,François-René de Chateaubriand,Франсуа Рэнэ дэ Шатабрыян,Франсуа-Рене де Шатобріан,Франсуа Шатобриан,Франсоа Рене дьо Шатобриан,François-René de Chateaubriand,François René de Chateaubriand,m,François-René de Chateaubriand
1816,Witold Gombrowicz,Вітальд Гамбровіч,Вітольд Ґомбрович,Витольд Гомбрович,Витолд Гомбрович,Witold Gombrowicz,Witold Gombrowicz,m,Witold Gombrowicz
1817,Paweł II ,Павел II,Павло II,Павел II,Павел II,Papež Pavel II,Pavel II,m,Pope Paul II
1818,Kurt Schwitters,Курт Швітэрс,Курт Швіттерс,Курт Швиттерс,Курт Швитерс,Kurt Schwitters,Kurt Schwitters,m,Kurt Schwitters
1819,Maximilien de Robespierre,Максімільен Рабесп’ер,Максиміліан Робесп'єр,Максимильен Робеспьер,Максимилиан Робеспиер,Maximilien Robespierre,Maximilien Robespierre,m,Maximilien Robespierre
1820,Antonio Salieri,Антоніа Сальеры,Антоніо Сальєрі,Антонио Сальери,Антонио Салиери,Antonio Salieri,Antonio Salieri,m,Antonio Salieri
1821,Christoph Willibald Gluck,Крыстаф Вілібальд Глюк,Крістоф Віллібальд Глюк,Кристоф Глюк,Кристоф Глук,Christoph Willibald Gluck,Christoph Willibald Gluck,m,Christoph Willibald Gluck
1822,Carl Czerny,Карл Чэрні,Карл Черні,Карл Черни,Карл Черни,Carl Czerny,Carl Czerny,m,Carl Czerny
1823,Johann Nepomuk Hummel,Іаган Непамук Гумель,Йоганн Непомук Гуммель,Иоганн Гуммель,Йохан Непомук Хумел,Johann Nepomuk Hummel,Johann Nepomuk Hummel,m,Johann Nepomuk Hummel
1824,Nikołaj Rimski-Korsakow,Мікалай Андрэевіч Рымскі-Корсакаў,Микола Римський-Корсаков,Николай Римский-Корсаков,Николай Римски-Корсаков,Nikolaj Rimski-Korsakov,Nikolaj Andrejevič Rimskij-Korsakov,m,Nikolai Rimsky-Korsakov
1825,Leopold Mozart,Леапольд Моцарт,Леопольд Моцарт,Леопольд Моцарт,Леополд Моцарт,Leopold Mozart,Leopold Mozart,m,Leopold Mozart
1826,Carl Philipp Emanuel Bach,Карл Філіп Эмануіл Бах,Карл Філіпп Емануель Бах,Карл Бах,Карл Филип Емануел Бах,Carl Philipp Emanuel Bach,Carl Philipp Emanuel Bach,m,Carl Philipp Emanuel Bach
1827,Rita Levi-Montalcini,Рыта Леві-Мантальчыні,Рита Леві-Монтальчині,Рита Леви-Монтальчини,Рита Леви-Монталчини,Rita Levi-Montalcini,Rita Leviová-Montalciniová,f,Rita Levi-Montalcini
1828,Ignacy Loyola,Ігнацій Лаёла,Ігнатій Лойола,Игнатий де Лойола,Игнатий Лойола,Ignacij Lojolski,Ignác z Loyoly,m,Ignatius of Loyola
1829,John Ruskin,Джон Рэскін,Джон Раскін,Джон Рёскин,Джон Ръскин,John Ruskin,John Ruskin,m,John Ruskin
1830,Fredegunda,Фрэдэгонда,Фредегунда,Фредегонда,Фредегунда,Fredegunda,Fredegunda,f,Fredegund
1831,Chlotar II,Хлотар II,Хлотар II,Хлотарь II,Хлотар II,Klotar II,Chlothar II,m,Chlothar II
1832,Chlotar I,Хлотар I,Хлотар I,Хлотарь I,Хлотар I,Klotar I,Chlothar I,m,Chlothar I
1833,Mark Allen,Марк Ален,Марк Аллен,Марк Аллен,Марк Алън,Mark Allen ,Mark Allen,m,Mark Allen
1834,Isabel Allende,Ісабель Альендэ,Ізабель Альєнде,Исабель Альенде,Исабел Алиенде,Isabel Allende,Isabel Allende,f,Isabel Allende
1835,Karol Śmiały,Карл Смелы,Карл I ,Карл Смелый,Шарл Дръзки,Karel Drzni,Karel Smělý,m,Charles the Bold
1836,Karol Młot,Карл Мартэл,Карл Мартел,Карл Мартелл,Карл Мартел,Karel Martel,Karel Martel,m,Charles Martel
1837,Maria Burgundzka,Марыя Бургундская,Марія I ,Мария Бургундская,Мария Бургундска,Marija Burgundska,Marie Burgundská,f,Mary of Burgundy
1838,Ludwik XII,Людовік XII,Людовик XII,Людовик XII,Луи XII,Ludvik XII. Francoski,Ludvík XII,m,Louis XII
1839,Izabela Bawarska,Ізабела Баварская,Ізабелла Баварська ,Изабелла Баварская,Изабела Баварска,Elizabeta Bavarska,Isabela Bavorská ,f,Isabeau of Bavaria
1840,Alfred Sznitke,Альфрэд Гарыевіч Шнітке,Альфред Шнітке,Альфред Шнитке,Алфред Шнитке,Alfred Garjevič Šnitke,Alfred Schnittke,m,Alfred Schnittke
1841,Faruk I,Фарук I,Фарук I,Фарук I,Фарук I,Faruk,Farúk I,m,Farouk of Egypt
1842,Cyryl z Aleksandrii,Кірыл Александрыйскі,Кирило Александрійський,Кирилл Александрийский,Кирил Александрийски,Ciril Aleksandrijski,Cyril Alexandrijský,m,Cyril of Alexandria
1843,Clifford D. Simak,Кліфард Дональд Саймак,Кліффорд Сімак,Клиффорд Саймак,Клифърд Саймък,Clifford Donald Simak,Clifford D. Simak,m,Clifford D. Simak
1844,Antoni Wielki,Антоній Вялікі,Антоній Великий,Антоний Великий,Антоний Велики,Anton Puščavnik,Antonín Veliký,m,Anthony the Great
1845,Katarzyna Aleksandryjska,Кацярына Александрыйская,Катерина Александрійська,Екатерина Александрийская,Екатерина ,Katarina Aleksandrijska,Kateřina Alexandrijská,f,Ekaterina
1846,Hekatajos z Miletu,Гекатэй Мілецкі,Гекатей Мілетський,Гекатей Милетский,Хекатей от Милет,Hekataj,Hekataios,m,Hecataeus of Miletus
1847,Francisco de Zurbarán,Франсіска дэ Сурбаран,Франсіско де Сурбаран,Франсиско Сурбаран,Франсиско де Сурбаран,Francisco de Zurbarán,Francisco de Zurbarán,m,Francisco de Zurbarán
1848,Charles-Maurice de Talleyrand-Périgord,Шарль Марыс дэ Талейран-Перыгор,Шарль Моріс де Талейран-Перігор,Шарль Талейран-Перигор,Шарл Морис дьо Талейран,Charles-Maurice de Talleyrand-Périgord,Charles Maurice de Talleyrand-Périgord,m,Charles Maurice de Talleyrand-Périgord
1849,Joseph John Thomson,Джозеф Джон Томсан,Джозеф Томсон,Джозеф Томсон,Джоузеф Джон Томсън,Joseph John Thomson,Joseph John Thomson,m,J. J. Thomson
1850,George Thomson,Джордж Паджэт Томсан,Джордж Томсон,Джордж Томсон,Джордж Паджет Томсън,George Paget Thomson,George Paget Thomson,m,George Paget Thomson
1851,Camille Flammarion,Каміль Нікаля Фламарыён,Каміль Фламмаріон,Камиль Фламмарион,Камий Фламарион,Nicolas Camille Flammarion,Camille Flammarion,m,Camille Flammarion
1852,Aleksander Zawadzki,Аляксандр Завадскі,Александр Завадський,Александр Завадский,Александер Завадзки,Aleksander Zawadzki,Aleksander Zawadzki,m,Aleksander Zawadzki
1853,Władysław Raczkiewicz,Уладзіслаў Рачкевіч,Владислав Рачкевич,Владислав Рачкевич,Владислав Рачкевич,Władysław Raczkiewicz,Władysław Raczkiewicz,m,Władysław Raczkiewicz
1854,Philipp Lenard,Філіп Эдуард Антон фон Ленард,Філіпп Едуард Антон фон Ленард,Филипп Ленард,Филип Ленард,Philipp Eduard Anton von Lenard,Philipp Lenard,m,Philipp Lenard
1855,Albert Michelson,Альберт Абрахам Майкельсан,Альберт Абрагам Майкельсон,Альберт Майкельсон,Албърт Майкелсън,Albert Abraham Michelson,Albert Abraham Michelson,m,Albert A. Michelson
1856,Karl Ferdinand Braun,Карл Фердынанд Браўн,Карл Браун,Карл Браун,Карл Фердинанд Браун,Karl Ferdinand Braun,Karl Ferdinand Braun,m,Karl Ferdinand Braun
