,pl,be,uk,ru,bg,sl,cs,gender,en
1758,Henryk IV Wielki,Генрых IV ,Генріх IV ,Генрих IV ,Анри IV,Henrik IV. Francoski,Jindřich IV. Francouzský,m,Henry IV of France
1759,Franciszek I Walezjusz,Францыск I,Франциск I ,Франциск I,Франсоа I,Franc I. Francoski,František I. Francouzský,m,Francis I of France
1760,Abdus Salam,Абдус Салам,Абдус Салам,Абдус Салам,Абдус Салам,Abdus Salam,Abdus Salam,m,Abdus Salam
1761,Ludwik XVII Burbon,Людовік XVII,Людовик XVII,Людовик XVII,Луи XVII,Ludvik XVII. Francoski,Ludvík XVII,m,Louis XVII
1762,Ludwik VIII Lew,Людовік VIII Леў,Людовик VIII Лев,Людовик VIII,Луи VIII,Ludvik VIII. Francoski,Ludvík VIII. Francouzský,m,Louis VIII of France
1763,Diego de Almagro,Дыега дэ Альмагра,Дієго де Альмагро,Диего Альмагро,Диего де Алмагро,Diego de Almagro,Diego de Almagro,m,Diego de Almagro
1764,Ferdinand Lassalle,Фердынанд Ласаль,Фердинанд Лассаль,Фердинанд Лассаль,Фердинанд Ласал,Ferdinand Lassalle,Ferdinand Lassalle,m,Ferdinand Lassalle
1765,Charles Messier,Шарль Месье,Шарль Мессьє,Шарль Мессье,Шарл Месие,Charles Messier,Charles Messier,m,Charles Messier
1766,Auguste Comte,Агюст Конт,Оґюст Конт,Огюст Конт,Огюст Конт,Auguste Comte,Auguste Comte,m,Auguste Comte
1767,Jean-Paul Marat,Жан-Поль Марат,Жан-Поль Марат,Жан-Поль Марат,Жан-Пол Марат,Jean-Paul Marat,Jean Paul Marat,m,Jean-Paul Marat
1768,Antoine Lavoisier,Антуан Ларан Лавуазье,Антуан Лавуазье,Антуан Лавуазье,Антоан Лавоазие,Antoine Lavoisier,Antoine Lavoisier,m,Antoine Lavoisier
1769,Joseph Louis Lagrange,Жазэф Луі Лагранж,Жозеф-Луї Лагранж,Жозеф Лагранж,Жозеф Луи Лагранж,Joseph-Louis de Lagrange,Joseph-Louis Lagrange,m,Joseph-Louis Lagrange
1770,Jan Heweliusz,Ян Гевелій,Ян Гевелій,Ян Гевелий,Ян Хевелий,Johannes Hevel,Johannes Hevelius,m,Johannes Hevelius
1771,Giovanni Cassini,Джавані Даменіка Касіні,Доменіко Джованні,Джованни Кассини,Джовани Доменико Касини,Giovanni Domenico Cassini,Giovanni Domenico Cassini,m,Giovanni Domenico Cassini
1772,Simon Marius,Сімон Марый,Симон Маріус,Симон Марий,Симон Мариус,Simon Marij,Simon Marius,m,Simon Marius
