,pl,be,uk,ru,bg,sl,cs
626,Wespazjan,Веспасіян,Веспасіан,Веспасиан,Веспасиан,Vespazijan,Vespasianus
627,Artakserkses I,Артаксеркс I Лангіман,Артаксеркс I,Артаксеркс I,Артаксеркс I,Artakserks I,Artaxerxés I
628,Herod Antypas,Ірад Анціпа,Ірод Антипа,Ирод Антипа,Ирод Антипа,Herod Antipa,Héródés Antipas
629,Herod Antypas,Ірад Анціпатар,Ірод Антипа,Ирод Антипа,Ирод Антипа,Herod Antipa,Héródés Antipas
630,Jan z Damaszku,Іаан Дамаскін,Іван Дамаскин,Иоанн Дамаскин,Йоан Дамаскин,Janez Damaščan,Jan z Damašku
631,Andrzej Apostoł,Андрэй Першазваны,Андрій Первозваний,Андрей Первозванный,Андрей Първозвани,Sveti Andrej,Svatý Ondřej
632,Klaudiusz ,Клаўдзій,Клавдій,Клавдий,Клавдий,Klavdij I,Claudius
633,Neron,Нерон,Нерон,Нерон,Нерон,Neron,Nero
634,Tomasz Apostoł,Фама ,Фома ,Апостол Фома,Тома ,Sveti Tomaž,Tomáš 
635,Józef Ignacy Kraszewski,Ю. I. Крашэўскі,Ігнацій Юзеф,Юзеф Крашевский,Юзеф Крашевски,Józef Ignacy Kraszewski,Józef Ignacy Kraszewski
636,Françoise Sagan,Франсуаза Саган,Франсуаза Саган,Франсуаза Саган,Франсоаз Саган,Françoise Sagan,Françoise Saganová
637,Karl Marx,К. Маркс,Карл Маркс,Карл Маркс,Карл Маркс,Karl Marx,Karl Marx
638,Filip Apostoł,Філіп ,Пилип ,Апостол Филипп,Филип ,Sveti Filip,Filip 
639,Klaus Ebner,Клаўс Эбнер,Клаус Ебнер,Клаус Эбнер,Клаус Ебнер,Klaus Ebner,Klaus Ebner
640,Napoleon Bonaparte,Напалеон I,Наполеон,Наполеон I,Наполеон I,Napoleon Bonaparte,Napoleon Bonaparte
641,Aleksy I Romanow,Аляксей Міхайлавіч,Олексій Михайлович,Алексей Михайлович,Алексей ,Aleksej Ruski,Alexej I. Michajlovič
642,Krzysztof Kolumb,Х. Калумб,Христофор Колумб,Христофор Колумб,Христофор Колумб,Krištof Kolumb,Kryštof Kolumbus
643,Vincenzo Bellini,Вінчэнца Беліні,Вінченцо Белліні,Винченцо Беллини,Винченцо Белини,Vincenzo Bellini,Vincenzo Bellini
644,Giuseppe Verdi,Джузэпэ Вердзі,Джузеппе Верді,Джузеппе Верди,Джузепе Верди,Giuseppe Verdi,Giuseppe Verdi
645,Giacomo Puccini,Джакама Пучыні,Джакомо Пуччині,Джакомо Пуччини,Джакомо Пучини,Giacomo Puccini,Giacomo Puccini
646,Gaetano Donizetti,Гаэтана Даніцэці,Гаетано Доніцетті,Гаэтано Доницетти,Гаетано Доницети,Gaetano Donizetti,Gaetano Donizetti
647,Gioacchino Rossini,Джаакіна Расіні,Джоаккіно Россіні,Джоаккино Россини,Джоакино Росини,Gioachino Rossini,Gioacchino Rossini
648,Arturo Toscanini,Артура Тасканіні,Артуро Тосканіні,Артуро Тосканини,Артуро Тосканини,Arturo Toscanini,Arturo Toscanini
649,Józef Stalin,І. Сталін,Йосип Сталін,Иосиф Сталин,Йосиф Сталин,Josif Stalin,Josif Vissarionovič Stalin
650,Józef Stalin,Сталін,Йосип Сталін,Иосиф Сталин,Йосиф Сталин,Josif Stalin,Josif Vissarionovič Stalin
651,Jerzy ,Георгій Перамаганосец,Юрій  Змієборець,Георгий Победоносец,Георги Победоносец,Sveti Jurij,Svatý Jiří
652,Ulrich von Jungingen,Ульрых фон Юнгінген,фон Ульріх,Ульрих Юнгинген,Улрих фон Юнгинген,Ulrich von Jungingen,Ulrich von Jungingen
653,George W. Bush,Джордж Буш ,Вокер Джордж,Джордж Буш,Джордж Уокър Буш,George Walker Bush,George W. Bush
654,Marc Chagall,М. Шагал,Марк Шагал,Марк Шагал,Марк Шагал,Marc Chagall,Marc Chagall
655,Antonio Vivaldi,Антоніа Вівальдзі,Антоніо Вівальді,Антонио Вивальди,Антонио Вивалди,Antonio Vivaldi,Antonio Vivaldi
656,Antonio Vivaldi,Антоніо Вівальдзі,Антоніо Вівальді,Антонио Вивальди,Антонио Вивалди,Antonio Vivaldi,Antonio Vivaldi
657,Stefan Batory,С. Баторый,Стефан Баторій,Стефан Баторий,Стефан Батори,Štefan Báthory,Štěpán Báthory
658,Luca Pacioli,Шрыфт Пачыолі,Лука Пачолі,Лука Пачоли,Лука Пачоли,Luca Pacioli,Luca Pacioli
659,Du Fu,Ду Фу,Ду Фу,Ду Фу,Ду Фу,Du Fu,Tu Fu
660,Święty Wojciech,Адальберт Пражскі,Адальберт Празький,Адальберт Пражский,Адалберт Пражки,Adalbert Praški,Svatý Vojtěch
661,Święty Wojciech,Адальберт-Войцех,Адальберт Празький,Адальберт Пражский,Адалберт Пражки,Adalbert Praški,Svatý Vojtěch
662,Mikołaj II Romanow,Нікалай II,Микола II ,Николай II,Николай II ,Nikolaj II. Ruski,Mikuláš II. Alexandrovič
663,Józef Ignacy Kraszewski,Ю. Крашэўскі,Ігнацій Юзеф,Юзеф Крашевский,Юзеф Крашевски,Józef Ignacy Kraszewski,Józef Ignacy Kraszewski
664,Manuel I Komnen,Мануіл I Камнін,Мануїл I,Мануил I Комнин,Мануил I Комнин,Manuel I. Komnen,Manuel I. Komnenos
665,Władysław III Warneńczyk,Уладзіслаў Варненчык,Владислав III Варненчик,Владислав III Варненчик,Владислав III,Vladislav III. Poljski,Vladislav III. Varnenčik
666,Jan II Komnen,Іаан II Камнін,Іоанн II Комнін,Иоанн II Комнин,Йоан II Комнин,Ivan II. Komnen,Jan II. Komnenos
667,Józef Stalin,Іосіф Сталін,Йосип Сталін,Иосиф Сталин,Йосиф Сталин,Josif Stalin,Josif Vissarionovič Stalin
668,Anna Jagiellonka,Ганна Ягелонка,Анна Ягеллонка,Анна Ягеллонка ,Анна I Ягелонка,Ana Jagelo,Anna Jagellonská 
669,Katarzyna I,Кацярына I,Катерина I,Екатерина I,Екатерина I,Katarina I. Ruska,Kateřina I. Ruská
670,August II Mocny,Аўгуст II,Август II Фрідріх,Август Сильный,Август II,Avgust Močni,August II. Silný
671,Gwido z Arezzo,Гвіда д’Арэца,Гвідо д'Ареццо,Гвидо д’Ареццо,Гуидо д'Арецо,Guido iz Arezza,Guido z Arezza
672,Giovanni Pierluigi da Palestrina,Джавані П’ерлуіджы да Палестрына,Джованні П'єрлуїджі да Палестрина,Джованни Палестрина,Джовани Пиерлуиджи да Палестрина,Giovanni Pierluigi da Palestrina,Giovanni Pierluigi da Palestrina
673,Claudio Monteverdi,Клаўдзіа Мантэвердзі,Клаудіо Монтеверді,Клаудио Монтеверди,Клаудио Монтеверди,Claudio Monteverdi,Claudio Monteverdi
674,Gwido z Arezzo,Гуідо д’Арэцо,Гвідо д'Ареццо,Гвидо д’Ареццо,Гуидо д'Арецо,Guido iz Arezza,Guido z Arezza
675,Claudio Monteverdi,Клаўдзіо Монтэвердзі,Клаудіо Монтеверді,Клаудио Монтеверди,Клаудио Монтеверди,Claudio Monteverdi,Claudio Monteverdi
676,Albert Speer,Альберт Шпеер,Альберт Шпеер,Альберт Шпеер,Алберт Шпеер,Albert Speer,Albert Speer
677,Albert Speer,Альберт шпеер,Альберт Шпеер,Альберт Шпеер,Алберт Шпеер,Albert Speer,Albert Speer
678,Niccolò Machiavelli,Нікало Макіявелі,Нікколо Макіавеллі,Никколо Макиавелли,Николо Макиавели,Niccolò Machiavelli,Niccolò Machiavelli
679,Niccolò Machiavelli,Нікало Мак’явэлі,Нікколо Макіавеллі,Никколо Макиавелли,Николо Макиавели,Niccolò Machiavelli,Niccolò Machiavelli
680,Pescenniusz Niger,Пясцэній Нігер,Песценній Нігер,Песценний Нигер,Песцений Нигер,Pescenij Niger,Pescennius Niger
681,Niccolò Machiavelli,Нікало Мак'явелі,Нікколо Макіавеллі,Никколо Макиавелли,Николо Макиавели,Niccolò Machiavelli,Niccolò Machiavelli
682,Niccolò Machiavelli,Нікала Макіявелі,Нікколо Макіавеллі,Никколо Макиавелли,Николо Макиавели,Niccolò Machiavelli,Niccolò Machiavelli
683,Barack Obama,Барак Абама,Барак Обама,Барак Обама,Барак Обама,Barack Obama,Barack Obama
684,Konstantyn I Wielki,Канстанцін I Вялікі,Константин І Великий,Константин I Великий,Константин I,Konstantin I. Veliki,Konstantin I. Veliký
685,Konstantyn I Wielki,Канстанцін Вялікі,Константин І Великий,Константин I Великий,Константин I,Konstantin I. Veliki,Konstantin I. Veliký
686,Konstantyn I Wielki,Канстанцін I,Константин І Великий,Константин I Великий,Константин I,Konstantin I. Veliki,Konstantin I. Veliký
687,Joe Biden,Джо Байдэн,Джо Байден,Джо Байден,Джо Байдън,Joe Biden,Joe Biden
688,Joe Biden,Джозеф Байдэн,Джо Байден,Джо Байден,Джо Байдън,Joe Biden,Joe Biden
689,John McCain,Джон Сідні Мак-Кейн,Джон Маккейн,Джон Маккейн,Джон Маккейн,John McCain,John McCain
690,John McCain,Джон Макейн,Джон Маккейн,Джон Маккейн,Джон Маккейн,John McCain,John McCain
691,John McCain,Макейн,Джон Маккейн,Джон Маккейн,Джон Маккейн,John McCain,John McCain
692,Gajusz Juliusz Cezar,Гай Юлій Цэзар,Гай Юлій Цезар,Гай Юлий Цезарь,Юлий Цезар,Gaj Julij Cezar,Julius Caesar
693,Maria Konopnicka,Марыя Канапніцкая,Марія Конопницька,Мария Конопницкая,Мария Конопницка,Maria Konopnicka,Maria Konopnicka
694,Rabindranath Tagore,Рабіндранат Тагор,Рабіндранат Тагор,Рабиндранат Тагор,Рабиндранат Тагор,Rabindranath Tagore,Rabíndranáth Thákur
695,Wilhelm II Hohenzollern,Вільгельм II Гогенцолерн,Вільгельм II ,Вильгельм II ,Вилхелм II,Viljem II. Nemški,Vilém II. Pruský
696,Henryk Sienkiewicz,Г. Сянкевіч,Генрик Сенкевич,Генрик Сенкевич,Хенрик Сенкевич,Henryk Sienkiewicz,Henryk Sienkiewicz
697,Juliusz III,Юлій III,Юлій III,Юлий III,Юлий III,Papež Julij III,Julius III
698,Arcangelo Corelli,Арканджэла Карэлі,Арканджело Кореллі,Арканджело Корелли,Арканджело Корели,Arcangelo Corelli,Arcangelo Corelli
699,Domenico Cimarosa,Даменіка Чымароза,Доменіко Чімароза,Доменико Чимароза,Доменико Чимароза,Domenico Cimarosa,Domenico Cimarosa
700,Giovanni Paisiello,Джавані Паізіела,Джованні Паїзієлло,Джованни Паизиелло,Джовани Паизиело,Giovanni Paisiello,Giovanni Paisiello
701,Jacopo Peri,Якопа Перы,Якопо Пері,Якопо Пери,Джакопо Пери,Jacopo Peri,Jacopo Peri
702,Luigi Boccherini,Луіджы Бакерыні,Луїджі Боккеріні,Луиджи Боккерини,Луиджи Бокерини,Luigi Boccherini,Luigi Boccherini
703,Pietro Mascagni,П’етра Масканьі,П'єтро Масканьї,Пьетро Масканьи,Пиетро Маскани,Pietro Mascagni,Pietro Mascagni
704,Innocenty VI,Інакенцій VI,Інокентій VI,Иннокентий VI,Инокентий VI,Papež Inocenc VI,Inocenc VI
705,Domenico Scarlatti,Даменіка Скарлаці,Доменіко Скарлатті,Доменико Скарлатти,Доменико Скарлати,Domenico Scarlatti,Domenico Scarlatti
706,Tomaso Albinoni,Тамаза Альбіноні,Джованні Томазо,Томазо Альбинони,Томазо Албинони,Tomaso Albinoni,Tomaso Albinoni
707,Luigi Boccherini,Луіджы Бачэрыні,Луїджі Боккеріні,Луиджи Боккерини,Луиджи Бокерини,Luigi Boccherini,Luigi Boccherini
708,Tomaso Albinoni,Томаш Альбіёні,Джованні Томазо,Томазо Альбинони,Томазо Албинони,Tomaso Albinoni,Tomaso Albinoni
709,Tomaso Albinoni,Тамаса Альбіёні,Джованні Томазо,Томазо Альбинони,Томазо Албинони,Tomaso Albinoni,Tomaso Albinoni
710,Arcangelo Corelli,Архангела Карэлі,Арканджело Кореллі,Арканджело Корелли,Арканджело Корели,Arcangelo Corelli,Arcangelo Corelli
711,Tomaso Albinoni,Тамаза Альбіёні,Джованні Томазо,Томазо Альбинони,Томазо Албинони,Tomaso Albinoni,Tomaso Albinoni
712,Saladyn,Саладзін,Салах ед Дін,Салах ад-Дин,Салах ад-Дин,Saladin,Saladin
713,Mikołaj Kopernik,М. Капернік,Миколай Коперник,Николай Коперник,Николай Коперник,Nikolaj Kopernik,Mikuláš Koperník
714,Sigmund Freud,Зыгмунд Фрэйд,Зигмунд Фрейд,Зигмунд Фрейд,Зигмунд Фройд,Sigmund Freud,Sigmund Freud
715,Aleksandr Sołżenicyn,Аляксандр Ісаевіч Салжаніцын,Олександр Солженіцин,Александр Солженицын,Александър Солженицин,Aleksander Solženicin,Alexandr Solženicyn
716,Aleksandr Sołżenicyn,Аляксандр Салжаніцын,Олександр Солженіцин,Александр Солженицын,Александър Солженицин,Aleksander Solženicin,Alexandr Solženicyn
717,Siarhiej Alejnikau,Сяргей Яўгенавіч Алейнікаў,Сергій Алейніков,Сергей Алейников,Сергей Алейников,Sergej Jevgenjevič Alejnikov,Sergej Alejnikov
