,pl,be,uk,ru,bg,sl,cs
596,Vasco da Gama,Васка да Гама,Васко да Гама,Васко да Гама,Вашку да Гама,Vasco da Gama,Vasco da Gama
597,Zheng He,Чжэн Хэ,Чжен Хе,Чжэн Хэ,Джън Хъ,Dženg He,Čeng Che
598,Marco Polo,Марка Пола,Марко Поло,Марко Поло,Марко Поло,Marco Polo,Marco Polo
599,Ferdynand Magellan,Фернан Магелан,Фернан Магеллан,Фернан Магеллан,Фернандо Магелан,Ferdinand Magellan,Fernão de Magalhães
600,Roald Amundsen,Руаль Амундсен,Руаль Амундсен,Руаль Амундсен,Руал Амундсен,Roald Amundsen,Roald Amundsen
601,Karl Marx,Карл Маркс,Карл Маркс,Карл Маркс,Карл Маркс,Karl Marx,Karl Marx
602,Aaron ,Аарон,Аарон,Аарон,Аарон ,Aron,Árón 
603,Napoleon Bonaparte,Напалеон,Наполеон,Наполеон I,Наполеон I,Napoleon Bonaparte,Napoleon Bonaparte
604,Stefan Urosz IV Duszan,Стэфан Душан,Стефан Душан,Стефан Урош IV Душан,Стефан Душан,Štefan Dušan,Štěpán Dušan
605,Franjo Tuđman,Франья Туджман,Франьо Туджман,Франьо Туджман,Франьо Туджман,Franjo Tuđman,Franjo Tuđman
606,Marlon Brando,Марлан Бранда,Марлон Брандо,Марлон Брандо,Марлон Брандо,Marlon Brando,Marlon Brando
607,Marilyn Monroe,Мэрылін Манро,Мерілін Монро,Мэрилин Монро,Мерилин Монро,Marilyn Monroe,Marilyn Monroe
608,Leonardo da Vinci,Леанарда да Вінчы,Леонардо да Вінчі,Леонардо да Винчи,Леонардо да Винчи,Leonardo da Vinci,Leonardo da Vinci
609,Swiatłana Aleksijewicz,Святлана Аляксандраўна Алексіевіч,Світлана Алексієвич,Светлана Алексиевич,Светлана Алексиевич,Svetlana Aleksijevič,Světlana Alexijevičová
610,Ambroży z Mediolanu,Амвросій Медыяланскі,Амвросій Медіоланський,Амвросий Медиоланский,Амвросий Медиолански,Ambrož Milanski,Svatý Ambrož
611,Ambroży z Mediolanu,Амвросій,Амвросій Медіоланський,Амвросий Медиоланский,Амвросий Медиолански,Ambrož Milanski,Svatý Ambrož
612,Józef Stalin,Іосіф Вісарыёнавіч Сталін,Йосип Сталін,Иосиф Сталин,Йосиф Сталин,Josif Stalin,Josif Vissarionovič Stalin
613,Jan Hus,Ян Гус,Ян Гус,Ян Гус,Ян Хус,Jan Hus,Jan Hus
614,Michaił Glinka,Міхаіл Іванавіч Глінка,Михайло Глінка,Михаил Глинка,Михаил Глинка,Mihail Glinka,Michail Ivanovič Glinka
615,Ludwik XIV,Людовік XIV,Людовик XIV,Людовик XIV,Луи XIV,Ludvik XIV. Francoski,Ludvík XIV
616,Marilyn Monroe,Мерылін Манро,Мерілін Монро,Мэрилин Монро,Мерилин Монро,Marilyn Monroe,Marilyn Monroe
617,Marilyn Monroe,Мэрлін Манро,Мерілін Монро,Мэрилин Монро,Мерилин Монро,Marilyn Monroe,Marilyn Monroe
618,Jan Chrzciciel,Іаан Прадцеча,Іван Хреститель,Иоанн Креститель,Йоан Кръстител,Janez Krstnik,Jan Křtitel
619,Jan Chrzciciel,Іаан Хрысціцель,Іван Хреститель,Иоанн Креститель,Йоан Кръстител,Janez Krstnik,Jan Křtitel
620,Poncjusz Piłat,Понцій Пілат,Понтій Пилат,Понтий Пилат,Пилат Понтийски,Poncij Pilat,Pilát Pontský
621,José Leandro Andrade,Андрадэ Хасэ Леандра,Леандро Хосе,Хосе Андраде,Хосе Андраде,José Leandro Andrade,José Andrade
622,Klaus Augenthaler,Аўгенталер Клаўс,Клаус Аугенталер,Клаус Аугенталер,Клаус Аугенталер,Klaus Augenthaler,Klaus Augenthaler
623,Kserkses I,Ксеркс I,Ксеркс I,Ксеркс I,Ксеркс I,Kserks I,Xerxés I
624,Tytus Flawiusz,Ціт Флавій,Тіт Флавій Веспасіан,Тит ,Тит,Tit Flavij,Titus
625,Tytus Flawiusz,Ціт Флавій Веспасіян,Тіт Флавій Веспасіан,Тит ,Тит,Tit Flavij,Titus
